Category,date,Description,Amount
Food/Drink,6/10/06,Botiga Musseu Picasso Barcelona Es 34.56,34.56
Cash/ATM,6/11/06,ATM Withdrawal 06/11 20011100 120130159 Caixa De Ccastelldefelses 3327 189.91,189.91
Other Spending,6/12/06,Foreign Curr Conv Fee 162640010838414,1.04
Other Spending,6/12/06,Monthly Point-Of-Sale (Pos) Purchase Fee 1.00,1
Other Spending,6/12/06,Monthly Service Fee 5.00,5
Other Spending,6/12/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Other Spending,6/12/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Cash/ATM,6/17/06,ATM Withdrawal 06/17 L05Edc11 St Marys Gate St Marys Gmanchester Gb 3327 111.02,111.02
Other Spending,6/19/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Food/Drink,6/20/06,"Tiger Tiger, Mancheste Manchester Gb 58.18",58.18
Cash/ATM,6/21/06,ATM Withdrawal 06/21 L05Edc11 St Marys Gate St Marys Gmanchester Gb 3327 147.51,147.51
Other Spending,6/21/06,Foreign Curr Conv Fee 172640009248543,1.75
Other Spending,6/21/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Shopping,6/21/06,Www.Maplin.Co.Uk Barnsley Gb 91.41,91.41
Other Spending,6/23/06,Foreign Curr Conv Fee 174640009353675,2.74
Cash/ATM,6/29/06,ATM Withdrawal 06/29 H001 000826 Hbeu H001 Gb 3327 146.95,146.95
Other Spending,6/29/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Cash/ATM,7/1/06,ATM Withdrawal 07/01 Ua553493 Barclays Bank Barclays B>Great Nor Gb 3327 92.38,92.38
Other Spending,7/1/06,Bill Pay Service Fee On 07/01 6.95,6.95
Other Spending,7/3/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Cash/ATM,7/7/06,ATM Withdrawal 07/07 L05Edc11 St Marys Gate St Marys Gmanchester Gb 3327 110.28,110.28
Other Spending,7/7/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Other Spending,7/13/06,Monthly Point-Of-Sale (Pos) Purchase Fee 1.00,1
Other Spending,7/13/06,Monthly Service Fee 5.00,5
Groceries,7/14/06,Tesco Metro 2872 Manchester Gb 46.12,46.12
Other Spending,7/17/06,Foreign Curr Conv Fee 197640018452303,1.38
Cash/ATM,7/19/06,ATM Withdrawal 07/19 L019Ac11 St Marys Gate St Marys Gmanchester Gb 3327 91.40,91.4
Other Spending,7/19/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Cash/ATM,7/25/06,ATM Withdrawal 07/25 H0516640 ATM -PicadillyATM -Picanchester Gb 3327 92.59,92.59
Other Spending,7/25/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Food/Drink,7/29/06,Fopp Manchester Gb 211640011286695 18.65,18.65
Cash/ATM,7/31/06,ATM Withdrawal 07/31 H001 000826 Hbeu H001 Gb 3327 94.15,94.15
Other Spending,7/31/06,Foreign Curr Conv Fee 211640011286695,0.56
Other Spending,7/31/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Other Spending,8/1/06,Bill Pay Service Fee On 08/01 6.95,6.95
Cash/ATM,8/5/06,ATM Withdrawal 08/05 L019Ac11 St Marys Gate St Marys Gmanchester Gb 3327 95.50,95.5
Shopping,8/5/06,Currys.Digital Manchester Gb 42.96,42.96
Other Spending,8/7/06,Foreign Curr Conv Fee 218640011607072,1.29
Other Spending,8/7/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Food/Drink,8/8/06,Cafe Rouge Manchester Gb 222640009596686 43.12,43.12
Other Spending,8/10/06,Foreign Curr Conv Fee 222640009596686,1.29
Other Spending,8/10/06,Monthly Point-Of-Sale (Pos) Purchase Fee 1.00,1
Other Spending,8/10/06,Monthly Service Fee 5.00,5
Groceries,8/10/06,Tesco Metro 2872 Manchester Gb 13.93,13.93
Cash/ATM,8/11/06,ATM Withdrawal 08/11 N281451 N/Rail Euston 2N/Rail Euslondon Gb 3327 94.78,94.78
Other Spending,8/11/06,Foreign Curr Conv Fee 223640009507504,0.42
Other Spending,8/11/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Food/Drink,8/12/06,Christies Harrogate Gb 225640011185183 10.79,10.79
Cash/ATM,8/13/06,ATM Withdrawal 08/13 N056831 Durham Durham Durham Gb 3327 94.64,94.64
Other Spending,8/14/06,Foreign Curr Conv Fee 225640011185183,0.32
Other Spending,8/14/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Shopping,8/18/06,Apple Centre Chester Gb 232640018428218 9.40,9.4
Food/Drink,8/18/06,Catering Support S Stoke-On-Tren Gb 15.53,15.53
Cash/ATM,8/20/06,ATM Withdrawal 08/20 N281451 N/Rail Euston 2N/Rail Euslondon Gb 3327 94.14,94.14
Other Spending,8/21/06,Foreign Curr Conv Fee 232640018428218,0.28
Other Spending,8/21/06,Foreign Curr Conv Fee 232640018432837,0.47
Other Spending,8/21/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Other Spending,8/22/06,Overdraft Fee 22.00,22
Other Spending,8/22/06,Overdraft Fee 22.00,22
Other Spending,8/24/06,Continuous Od Level 2 Charge 5.00,5
Other Spending,8/25/06,Continuous Od Level 2 Charge 5.00,5
Other Spending,8/28/06,Continuous Od Level 2 Charge 5.00,5
Cash/ATM,8/29/06,ATM Withdrawal 08/29 N412131 Spinningfields Spinningfimanchester Gb 3327 189.65,189.65
Other Spending,8/29/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Cash/ATM,8/31/06,ATM Withdrawal 08/31 Ua553451 Barclays Bank Barclays B>MÍChester Gb 3327 114.27,114.27
Cash/ATM,8/31/06,Castle Irwell Salford Gb 246640019283615 114.14,114.14
Other Spending,8/31/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Other Spending,9/1/06,Bill Pay Service Fee On 09/01 6.95,6.95
Cash/ATM,9/2/06,ATM Withdrawal 09/02 N1B00076 Manchester Manchestermanchester Gb 3327 95.12,95.12
Shopping,9/3/06,Www.Skype.Com Internet Lu 10.00,10
Shopping,9/4/06,Debenhams Manchester Gb 248640008233810 22.88,22.88
Other Spending,9/5/06,Foreign Curr Conv Fee 246640019283615,3.42
Other Spending,9/5/06,Foreign Curr Conv Fee 248640008233810,0.69
Other Spending,9/5/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Cash/ATM,9/6/06,ATM Withdrawal 09/06 02724 A050904 A050904 Chorlton_Cum_Gb 3327 94.77,94.77
Other Spending,9/6/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Shopping,9/9/06,Game (Stores) Ltd Manchester Gb 37.29,37.29
Cash/ATM,9/11/06,ATM Withdrawal 09/11 N125231 Salford Univ Salford Unsalford Gb 3327 373.37,373.37
Other Spending,9/11/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Cash/ATM,9/12/06,ATM Withdrawal 09/12 N125231 Salford Univ Salford Unsalford Gb 3327 373.07,373.07
Other Spending,9/12/06,Foreign Curr Conv Fee 255640009015644,1.12
Other Spending,9/12/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Cash/ATM,9/13/06,ATM Withdrawal 09/13 N125231 Salford Univ Salford Unsalford Gb 3327 375.03,375.03
Other Spending,9/13/06,Monthly Point-Of-Sale (Pos) Purchase Fee 1.00,1
Other Spending,9/13/06,Monthly Service Fee 5.00,5
Other Spending,9/13/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Cash/ATM,9/14/06,ATM Withdrawal 09/14 N125231 Salford Univ Salford Unsalford Gb 3327 281.53,281.53
Other Spending,9/14/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Cash/ATM,9/15/06,ATM Withdrawal 09/15 N125231 Salford Univ Salford Unsalford Gb 3327 94.42,94.42
Other Spending,9/15/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Shopping,9/17/06,Hl-Express G52H4M Man Str Df 132.74,132.74
Cash/ATM,9/19/06,ATM Withdrawal 09/19 H002 000826 Hbeu H002 Gb 3327 94.92,94.92
Other Spending,9/19/06,Foreign Curr Conv Fee 262640009206614,3.98
Other Spending,9/19/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Cash/ATM,9/22/06,ATM Withdrawal 09/22 H0516640 ATM -PicadillyATM -Picanchester Gb 3327 95.09,95.09
Other Spending,9/22/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Cash/ATM,9/23/06,ATM Withdrawal 09/23 L05Edc11 St Marys Gate St Marys Gmanchester Gb 3327 114.11,114.11
Food/Drink,9/24/06,"Tiger Tiger, Mancheste Manchester Gb 11.79",11.79
Other Spending,9/25/06,Foreign Curr Conv Fee 267640011046866,0.35
Other Spending,9/25/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Cash/ATM,9/29/06,ATM Withdrawal 09/29 H001 000826 Hbeu H001 Gb 3327 113.23,113.23
Other Spending,9/29/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Other Spending,10/1/06,"Ambrosia Software, Inc 585-325-1910Ny 25.00",25
Other Spending,10/1/06,Bill Pay Service Fee On 10/01 6.95,6.95
Cash/ATM,10/6/06,ATM Withdrawal -10/06 H002 000826 Hbeu H002 Gb 3327 113.62,113.62
Other Spending,10/6/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Cash/ATM,10/11/06,ATM Withdrawal -10/11 Ua553493 Barclays Bank Barclays B>Great Nor Gb 3327 111.32,111.32
Other Spending,10/11/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Other Spending,10/12/06,Monthly Point-Of-Sale (Pos) Purchase Fee 1.00,1
Other Spending,10/12/06,Monthly Service Fee 5.00,5
Cash/ATM,10/16/06,ATM Withdrawal -10/16 N125231 Salford Univ Salford Unsalford Gb 3327 130.03,130.03
Other Spending,10/16/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Cash/ATM,10/19/06,ATM Withdrawal -10/19 H003 000826 Hbeu H003 Gb 3327 132.39,132.39
Other Spending,10/19/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Cash/ATM,10/27/06,ATM Withdrawal -10/27 55506707 Postbank Bahnhopostbank Bneustadt > De 3327 76.15,76.15
Other Spending,10/27/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Cash/ATM,11/1/06,ATM Withdrawal -11/01 N124151 N/Rail Mcr Piccn/Rail Mcrmanchester Gb 3327 133.47,133.47
Other Spending,11/1/06,Bill Pay Service Fee On 11/01 6.95,6.95
Other Spending,11/1/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Cash/ATM,11/4/06,ATM Withdrawal -11/04 Ua510122 9/11 Whitechape9/11 White>Liverpool Gb 95.08,95.08
Entertainment,11/4/06,The Beatles Story Liverpool Gb 11.85,11.85
Other Spending,11/6/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Other Spending,11/10/06,Monthly Point-Of-Sale (Pos) Purchase Fee 1.00,1
Other Spending,11/10/06,Monthly Service Fee 5.00,5
Shopping,11/15/06,Www.Skype.Com Internet Lu 10.00,10
Cash/ATM,11/18/06,ATM Withdrawal -11/18 N293631 Strand 3 Strand 3 London Gb 3327 75.77,75.77
Other Spending,11/20/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Cash/ATM,11/22/06,ATM Withdrawal -11/22 L017Ec11 St Marys Gate St Marys Gmanchester Gb 3327 75.99,75.99
Other Spending,11/22/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Cash/ATM,11/28/06,ATM Withdrawal -11/28 L017Ec11 St Marys Gate St Marys Gmanchester Gb 3327 58.13,58.13
Other Spending,11/28/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Cash/ATM,11/30/06,ATM Withdrawal -11/30 L017Ec11 St Marys Gate St Marys Gmanchester Gb 3327 58.50,58.5
Other Spending,11/30/06,Non-Wells Fargo ATM Transaction Fee 5.00,5
Other Spending,12/1/06,Bill Pay Service Fee On 12/01 6.95,6.95
Other Spending,12/12/06,Monthly Point-Of-Sale (Pos) Purchase Fee 1.00,1
Other Spending,12/12/06,Monthly Service Fee 5.00,5
Contractors / Business Services,12/20/06,Sou The Home Desou The Ho Atascadero Ca 3327 9.41,9.41
Shopping,12/27/06,Eforcity Com 888-8912489Ca 5.09,5.09
Other Spending,1/1/07,Bill Pay Service Fee On 01-01 6.95,6.95
Other Spending,1/9/07,Wire Trans Svc Charge -Sequence: 070109067506 Srf# Fw00756009807530 Trn#070109067506 32.00,32
Cash/ATM,1/9/07,Wt 070109-067506Deutsche Bank Priva /Bnf=Susanne Altherr Srf# Fw00756009807530 200.01,200.01
Other Spending,1/11/07,Monthly Point-Of-Sale (Pos) Purchase Fee 1.00,1
Other Spending,1/11/07,Monthly Service Fee 5.00,5
Food/Drink,1/14/07,Round Table Pizza Atascadero Ca 15.18,15.18
Groceries,1/23/07,Vons Store Vons Satascadero Ca 3327,15.63
Auto/Transportation,1/26/07,Shell Service Sshell Servatascadero Ca 3327 8.27,8.27
Contractors / Business Services,1/27/07,Lemos Feed & Pet Suppl Atascadero Ca 9.64,9.64
Shopping,1/28/07,The Wine Outlet Atascadero Ca 8.58,8.58
Cash/ATM,1/29/07,ATM Withdrawal -01/29 7819T 7135 El Camino Real Atascadero Ca 3327 20.00,20
Other Spending,2/1/07,Bill Pay Service Fee On 02-01 6.95,6.95
Shopping,2/1/07,Mervyns -San Lmervyns -San Lu Ca 3327 55.75,55.75
Entertainment,2/4/07,Paso Robles Golf Club Paso Robles Ca 42.00,42
Cash/ATM,2/7/07,ATM Withdrawal -02/07 4258D Foothill San Luis Obis Ca 3327 40.00,40
Auto/Transportation,2/11/07,76 76 Mission Viejoca 3327,5.82
Auto/Transportation,2/11/07,Union 76 33778176 Mission Viejo Ca 26.97,26.97
Other Spending,2/11/07,Yellow Cab Or N Orange 7145350156 Ca 25.00,25
Other Spending,2/12/07,Monthly Point-Of-Sale (Pos) Purchase Fee 1.00,1
Other Spending,2/12/07,Monthly Service Fee 5.00,5
Auto/Transportation,2/13/07,Shell Oil 57441083201 Atascadero Ca 31.11,31.11
Food/Drink,2/13/07,Taco Del Mar Paso Robles Ca 8.56,8.56
Contractors / Business Services,2/14/07,Sou The Home Desou The Ho Atascadero Ca 3327 5.89,5.89
Food/Drink,2/16/07,Taco Bell # 23049 Atascadero Ca 4.48,4.48
Shopping,2/17/07,Paypal *Fmmsoftware 402-935-7733Ca 10.00,10
Shopping,2/18/07,Sou Gamestop #2Sou Gamestsan Luis Ca 3327 28.95,28.95
Credit Card/Loan Payments,2/21/07,Bill Pay Wells Fargo Educ On-Line,200
Food/Drink,2/23/07,Golden China Atascadero Ca 25.00,25
Auto/Transportation,2/23/07,Shell Oil 57441083201 Atascadero Ca 34.04,34.04
Shopping,2/24/07,San Luis Luggage Sn Luis Obisp Ca 32.14,32.14
Cash/ATM,2/27/07,ATM Withdrawal -02/27 0756A 546 Spring Street Paso Robles Ca 3327 40.00,40
Other Spending,2/28/07,Ign Items Deposited @ 1.50 Per Item 1.50,1.5
Other Spending,3/1/07,Best Value Inn Newbury Park Ca 49.50,49.5
Other Spending,3/1/07,Bill Pay Service Fee On 03-01 6.95,6.95
Auto/Transportation,3/1/07,Chevron 00094614 Santa Maria Ca 28.85,28.85
Groceries,3/2/07,Albertsons Albertsonswestlake Villca 3327,4.15
Entertainment,3/2/07,Cinespace Hollywood Ca 064740012334258 56.00,56
Postage / Delivery,3/2/07,Fedex KinkoÍS #4293 Thousand Oaks Ca 11.76,11.76
Auto/Transportation,3/3/07,Arco Paypoint Arco Payposanta Barbaraca 3327 32.23,32.23
Shopping,3/6/07,Sou Eb Games #5Sou Eb Gampaso Robles Ca 3327 32.16,32.16
Credit Card/Loan Payments,3/8/07,Bill Pay Wells Fargo Educ On-Line,300
Auto/Transportation,3/9/07,Albertsons Albertsonsirvine Ca 3327,9.95
Food/Drink,3/9/07,RubioÍS Irvine #12 Irvine Ca 15.06,15.06
Auto/Transportation,3/9/07,Shell Oil 20468701345 San Luis Obis Ca 30.27,30.27
Auto/Transportation,3/10/07,Shell Oil 27441510404 Irvine Ca 33.81,33.81
Lodging,3/10/07,Sheraton Sky Lounge San Diego Ca 22.08,22.08
Auto/Transportation,3/11/07,Chevron 00095348 Agoura Hills Ca 31.16,31.16
Auto/Transportation,3/11/07,Chevron 00095348 Agoura Hills Ca 5.95,5.95
Cash/ATM,3/12/07,ATM Withdrawal -03/12 7819T 7135 El Camino Real Atascadero Ca 3327 40.00,40
Other Spending,3/12/07,Monthly Point-Of-Sale (Pos) Purchase Fee 1.00,1
Other Spending,3/12/07,Monthly Service Fee 5.00,5
Auto/Transportation,3/13/07,St Of Calif Dmv-Intern 916-6578943Ca 164.00,164
Shopping,3/16/07,After Hours Formalwear San Diego Ca 70.00,70
Auto/Transportation,3/20/07,Shell Oil 57441083201 Atascadero Ca 37.07,37.07
Auto/Transportation,3/23/07,Chevron 00094786 Culver City Ca 16.31,16.31
Food/Drink,3/24/07,Sport Chalet Sport Chalmarina Del Reca 3327 64.92,64.92
Auto/Transportation,3/25/07,Arco Paypoint Arco Paypoculver City Ca 3327 33.50,33.5
Entertainment,3/25/07,Chalk Mountain Golf Co Atascadero Ca 8.00,8
Cash/ATM,3/27/07,ATM Withdrawal -03/27 7819T 7135 El Camino Real Atascadero Ca 3327 20.00,20
Auto/Transportation,3/30/07,Chevron 00212458 Paso Robles Ca 31.07,31.07
Food/Drink,3/30/07,Day S Market Santa Cruz Ca 7.83,7.83
Auto/Transportation,3/31/07,Union 76 10034379 Castroville Ca 24.68,24.68
Other Spending,4/1/07,Bill Pay Service Fee On 04-01 6.95,6.95
Entertainment,4/1/07,Paso Robles Golf Club Paso Robles Ca 42.00,42
Entertainment,4/1/07,Paso Robles Golf Club Paso Robles Ca 6.70,6.7
Food/Drink,4/2/07,Firestone Walker Brewi Paso Robles Ca 22.00,22
Auto/Transportation,4/5/07,Shell Oil 57441083201 Atascadero Ca 38.53,38.53
Auto/Transportation,4/6/07,Exxonmobil Pos Exxonmobilriversde Ca 3327 4.15,4.15
Other Spending,4/11/07,Monthly Point-Of-Sale (Pos) Purchase Fee 1.00,1
Entertainment,4/13/07,Med Jool San Francisco Ca 106740008069337 13.00,13
Auto/Transportation,4/13/07,Soledad Valero Soledad Ca 105740010024081 38.20,38.2
Other Spending,4/14/07,Wayport Internet Svcs Wayport.Net Tx 2.95,2.95
Cash/ATM,4/15/07,"ATM Withdrawal -04/15 0019C 3624 Geary Blvd, San Francisco, Ca 3327 100.00",100
Entertainment,4/15/07,Mccarthys On Mission San Francisco Ca 24.00,24
Food/Drink,4/15/07,Panchos Mexican Grill San Francisco Ca 7.54,7.54
Auto/Transportation,4/16/07,San Mateo Auto San Mateo San Mateo Ca 3327 41.91,41.91
Food/Drink,4/18/07,Baja Fresh 10278 San Carlos Ca 8.32,8.32
Food/Drink,4/18/07,Starbucks Usa 00054205 Redwood City Ca 3.65,3.65
Cash/ATM,4/19/07,ATM Withdrawal -04/19 0045D 725 Irving St San Francisco Ca 3327 40.00,40
Food/Drink,4/19/07,Sushi Monster Belmont Ca 113740011197751 19.00,19
Food/Drink,4/19/07,Togos Eatery #80 Redwood City Ca 9.09,9.09
Auto/Transportation,4/20/07,Arco Paypoint Arco Paypobelmont Ca 3327 40.18,40.18
Food/Drink,4/20/07,Magnolia Pub & Brewery San Francisco Ca 130.00,130
Food/Drink,4/24/07,Amicis East Coast Pizz Redwood City Ca 11.50,11.5
Auto/Transportation,4/25/07,Arco Paypoint Arco Paypobelmont Ca 3327 38.04,38.04
Groceries,4/25/07,Safeway Store Safeway Sbelmont Ca 3327,16.21
Food/Drink,4/25/07,Togos Baskin Robbins B Belmont Ca 7.77,7.77
Cash/ATM,4/26/07,ATM Withdrawal -04/26 80890849 770 Stanyan St.Kezar Pub San Francisco 3327 62.00,62
Other Spending,4/26/07,Non-Wells Fargo ATM Transaction Fee 2.00,2
Groceries,4/27/07,Liquor Express San Francisco Ca 18.00,18
Groceries,4/29/07,Safeway Store Safeway Ssan Francisco 3327 30.88,30.88
Auto/Transportation,4/30/07,Union 76 00463232 Belmont Ca 39.30,39.3
Cash/ATM,5/1/07,ATM Withdrawal -05/01 1117I Redwood Shores Pkwy Redwood City Ca 3327 40.00,40
Other Spending,5/1/07,Bill Pay Service Fee On 05-01 6.95,6.95
Food/Drink,5/2/07,Baja Fresh 10278 San Carlos Ca 8.05,8.05
Shopping,5/4/07,Paypal *Tonywalker2 402-935-7733Ca 55.00,55
Entertainment,5/4/07,Tickets* Sf Giants 415-972-2000Ca 20.00,20
Food/Drink,5/4/07,Totos Pizzeria Of Belm Belmont Ca 7.31,7.31
Auto/Transportation,5/4/07,Union 76 00362806 San Francisco Ca 38.03,38.03
Cash/ATM,5/5/07,ATM Withdrawal -05/05 0019C 3624 Geary Blvd San Francisco Ca 3327 60.00,60
Auto/Transportation,5/5/07,Shell Oil 57428383400 King City Ca 44.51,44.51
Food/Drink,5/6/07,Irelands 32 San Francisco Ca 36.00,36
Food/Drink,5/7/07,Bills Place San Francisco Ca 129740005965458 22.08,22.08
Mortgage / Rent,5/7/07,Online Transfer To Blakely D Ref #Ibe524M6P8 Checking Rent May 2007 832.00,832
Shopping,5/7/07,Paypal *Applemacani 402-935-7733Ca 52.34,52.34
Auto/Transportation,5/7/07,Shell Oil 20467900930 San Francisco Ca 39.62,39.62
Food/Drink,5/8/07,Roadside Bbq San Francisco Ca 8.61,8.61
Food/Drink,5/8/07,The Patio Cafe Redwood City Ca 7.57,7.57
Shopping,5/9/07,"Bed, Bath & Beybed, Bath Redwood City Ca 3327 169.87",169.87
Food/Drink,5/9/07,Starbucks Usa 00054205 Redwood City Ca 3.45,3.45
Cash/ATM,5/10/07,ATM Withdrawal -05/10 P51178 1500 Broadway Rouge-5117San Francisco 3327 62.00,62
Other Spending,5/10/07,Monthly Point-Of-Sale (Pos) Purchase Fee 1.00,1
Other Spending,5/10/07,Monthly Service Fee 5.00,5
Other Spending,5/10/07,Non-Wells Fargo ATM Transaction Fee 2.00,2
Food/Drink,5/11/07,Magnolia Pub & Brewery San Francisco Ca 24.51,24.51
Food/Drink,5/11/07,Magnolia Pub & Brewery San Francisco Ca 6.00,6
Auto/Transportation,5/11/07,Union 76 10034015 San Francisco Ca 44.64,44.64
Cash/ATM,5/12/07,ATM Withdrawal -05/12 Wcad8802 *Emeryville Bank Of Amcity Ca 3327 42.00,42
Other Spending,5/12/07,Non-Wells Fargo ATM Transaction Fee 2.00,2
Cash/ATM,5/13/07,ATM Withdrawal -05/13 Wcad8802 *Emeryville Bank Of Amcity Ca 3327 42.00,42
Other Spending,5/13/07,Non-Wells Fargo ATM Transaction Fee 2.00,2
Cash/ATM,5/13/07,Presaleticketsonlin 808-227-7495Hi 17.45,17.45
Food/Drink,5/13/07,Sushi Monster Belmont Ca 136740007094257 20.00,20
Food/Drink,5/14/07,Roadside Bbq San Francisco Ca 9.69,9.69
Shopping,5/15/07,Borders Books 01002583 San Francisco Ca 20.56,20.56
,5/16/07,ATM Purchase -05/16 0158B 1045 Ralston Ave Belmont Ca 3327 8.90,8.9
Cash/ATM,5/16/07,ATM Withdrawal -05/16 0158C 1045 Ralston Ave Belmont Ca 3327 40.00,40
Food/Drink,5/16/07,Starbucks Usa 00055848 San Francisco Ca 3.55,3.55
Auto/Transportation,5/16/07,Union 76 00463232 Belmont Ca 39.79,39.79
Food/Drink,5/17/07,Original Buffalo Wings San Francisco Ca 8.95,8.95
Cash/ATM,5/18/07,ATM Withdrawal -05/18 0158C 1045 Ralston Ave Belmont Ca 3327 60.00,60
Groceries,5/18/07,Beverages & Morbeverages San Francisc Ca 3327 19.51,19.51
Groceries,5/18/07,Safeway Store Safeway Sbelmont Ca 3327,10.44
Auto/Transportation,5/22/07,Shell Oil 27441747907 San Francisco Ca 3.28,3.28
Auto/Transportation,5/22/07,Shell Oil 27441747907 San Francisco Ca 42.07,42.07
Food/Drink,5/22/07,Totos Pizzeria Of Belm Belmont Ca 11.10,11.1
Groceries,5/23/07,7-Eleven 7-Eleven San Francisco 3327,13.82
Food/Drink,5/23/07,Baja Fresh 10278 San Carlos Ca 6.44,6.44
Food/Drink,5/23/07,Starbucks Usa 00055848 San Francisco Ca 3.35,3.35
Food/Drink,5/24/07,Yeah Restaurant Redwood City Ca 12.00,12
Cash/ATM,5/25/07,7-Eleven 7-Eleven San Francisco 3327,15.7
Cash/ATM,5/25/07,ATM Withdrawal -05/25 0158B 1045 Ralston Ave Belmont Ca 3327 60.00,60
Auto/Transportation,5/26/07,Arco Paypoint Arco Payposan Jose Ca 3327 40.41,40.41
Auto/Transportation,5/28/07,Shell Oil 57441083201 Atascadero Ca 23.96,23.96
Auto/Transportation,5/29/07,Olympian Pacheco San Francisco Ca 44.36,44.36
Groceries,5/29/07,Safeway Store Safeway Sbelmont Ca 3327,13.81
Food/Drink,5/29/07,Starbucks Usa 00055848 San Francisco Ca 1.70,1.7
Food/Drink,5/29/07,The Patio Cafe Redwood City Ca 8.96,8.96
Cash/ATM,5/30/07,"ATM Withdrawal -05/30 0019C 3624 Geary Blvd, San Francisco, Ca 3327 40.00",40
Food/Drink,5/30/07,Baja Fresh 10278 San Carlos Ca 6.44,6.44
Food/Drink,5/30/07,In-N-Out Burger Mountain View Ca 4.85,4.85
Cash/ATM,5/30/07,Withdrawal Made In A Branch/Store 400.00,400
Groceries,5/31/07,Nob Hill #628 Redwood City Ca 5.80,5.8
Food/Drink,5/31/07,Starbucks Usa 00055848 San Francisco Ca 3.35,3.35
Other Spending,6/1/07,Bill Pay Service Fee On 06-01 6.95,6.95
Shopping,6/1/07,Paypal *Madmattsbin 402-935-7733Ca 26.23,26.23
Groceries,6/3/07,DelanoÍS Iga MadelanoÍS Isan Francisco 3327 22.80,22.8
Groceries,6/3/07,Dragonbar 4156731744 Ca 155740008543710 2.00,2
Entertainment,6/3/07,Dragonbar 4156731744 Ca 155740008543711 21.00,21
Food/Drink,6/3/07,Original Buffalo Wings San Francisco Ca 14.97,14.97
Auto/Transportation,6/4/07,Holly Petroleumholly Petrsan Carlos Ca 3327 42.71,42.71
Groceries,6/4/07,Nob Hill #628 Nob Hill #Redwood City Ca 3327 5.98,5.98
Contractors / Business Services,6/4/07,Office Depot Ofoffice Depsan Carlos Ca 3327 46.05,46.05
Mortgage / Rent,6/4/07,Withdrawal Made In A Branch/Store 832.00,832
Food/Drink,6/6/07,Rohan Lounge San Francisco Ca 55.00,55
Shopping,6/7/07,Marvin Gardens Belmont Ca 9.00,9
Groceries,6/8/07,Apple Store #R002 Palo Alto Ca 20.57,20.57
Auto/Transportation,6/8/07,Arco Paypoint Arco Paypobelmont Ca 3327 42.77,42.77
Cash/ATM,6/8/07,ATM Withdrawal -06/08 0019C 3624 Geary Blvd San Francisco Ca 3327 60.00,60
Food/Drink,6/8/07,Roadside Bbq San Francisco Ca 13.96,13.96
Groceries,6/8/07,Safeway Store Safeway Sbelmont Ca 3327,3.24
Food/Drink,6/8/07,Togos Baskin Robbins B Belmont Ca 8.87,8.87
Cash/ATM,6/8/07,Withdrawal Made In A Branch/Store 400.00,400
Cash/ATM,6/9/07,ATM Withdrawal -06/09 0019C 3624 Geary Blvd San Francisco Ca 3327 40.00,40
Groceries,6/11/07,Safeway Store Safeway Sbelmont Ca 3327,6.61
Groceries,6/11/07,Safeway Store Safeway Sbelmont Ca 3327,13.33
Personal Care,6/11/07,Supercuts Ca #8723 Belmont Ca 18.00,18
Cash/ATM,6/12/07,ATM Withdrawal -06/12 1117I Redwood Shores Pkwy Redwood City Ca 3327 100.00,100
Other Spending,6/12/07,Monthly Point-Of-Sale (Pos) Purchase Fee 1.00,1
Other Spending,6/12/07,Monthly Service Fee 5.00,5
Shopping,6/13/07,The Sports Basement San Francisco Ca 70.53,70.53
